,LCLid,energy(kWh/hh)
831,MAC002136,0
832,MAC002136,0
833,MAC002136,0
834,MAC002136,0
835,MAC002136,0
836,MAC002136,0
837,MAC002136,0
838,MAC002136,0
839,MAC002136,0
840,MAC002136,0
841,MAC002136,0
842,MAC002136,0
843,MAC002136,0
844,MAC002136,0
845,MAC002136,0
846,MAC002136,0
847,MAC002136,0
848,MAC002136,0
849,MAC002136,0
850,MAC002136,0
851,MAC002136,0
852,MAC002136,0
853,MAC002136,0
854,MAC002136,0
855,MAC002136,0
856,MAC002136,0
857,MAC002136,0
858,MAC002136,0
859,MAC002136,0
860,MAC002136,0
861,MAC002136,0
862,MAC002136,0
863,MAC002136,0
864,MAC002136,0
865,MAC002136,0
866,MAC002136,0
867,MAC002136,0
868,MAC002136,0
869,MAC002136,0
870,MAC002136,0
871,MAC002136,0
872,MAC002136,0
873,MAC002136,0
874,MAC002136,0
875,MAC002136,0
876,MAC002136,0
877,MAC002136,0
878,MAC002136,0
879,MAC002136,0
880,MAC002136,0
881,MAC002136,0
882,MAC002136,0
883,MAC002136,0
884,MAC002136,0
885,MAC002136,0
886,MAC002136,0
887,MAC002136,0
888,MAC002136,0
889,MAC002136,0
890,MAC002136,0
891,MAC002136,0
892,MAC002136,0
893,MAC002136,0
894,MAC002136,0
895,MAC002136,0
896,MAC002136,0
897,MAC002136,0
898,MAC002136,0
899,MAC002136,0
900,MAC002136,0
901,MAC002136,0
902,MAC002136,0
903,MAC002136,0
904,MAC002136,0
905,MAC002136,0
906,MAC002136,0
907,MAC002136,0
908,MAC002136,0
909,MAC002136,0
910,MAC002136,0
911,MAC002136,0
912,MAC002136,0
913,MAC002136,0
914,MAC002136,0
915,MAC002136,0
916,MAC002136,0
917,MAC002136,0
918,MAC002136,0
919,MAC002136,0
920,MAC002136,0
921,MAC002136,0
922,MAC002136,0
923,MAC002136,0
924,MAC002136,0
925,MAC002136,0
926,MAC002136,0
927,MAC002136,0
928,MAC002136,0
929,MAC002136,0
930,MAC002136,0
931,MAC002136,0
932,MAC002136,0
933,MAC002136,0
934,MAC002136,0
935,MAC002136,0
936,MAC002136,0
937,MAC002136,0
938,MAC002136,0
939,MAC002136,0
940,MAC002136,0
941,MAC002136,0
942,MAC002136,0
943,MAC002136,0
944,MAC002136,0
945,MAC002136,0
946,MAC002136,0
947,MAC002136,0
948,MAC002136,0
949,MAC002136,0
950,MAC002136,0
951,MAC002136,0
952,MAC002136,0
953,MAC002136,0
954,MAC002136,0
955,MAC002136,0
956,MAC002136,0
957,MAC002136,0
958,MAC002136,0
959,MAC002136,0
960,MAC002136,0
961,MAC002136,0
962,MAC002136,0
963,MAC002136,0
964,MAC002136,0
965,MAC002136,0
966,MAC002136,0
967,MAC002136,0
968,MAC002136,0
969,MAC002136,0
970,MAC002136,0
971,MAC002136,0
972,MAC002136,0
973,MAC002136,0
974,MAC002136,0
975,MAC002136,0
976,MAC002136,0
977,MAC002136,0
978,MAC002136,0
979,MAC002136,0
980,MAC002136,0
981,MAC002136,0
982,MAC002136,0
983,MAC002136,0
984,MAC002136,0
985,MAC002136,0
986,MAC002136,0
987,MAC002136,0
988,MAC002136,0
989,MAC002136,0
990,MAC002136,0
991,MAC002136,0
992,MAC002136,0
993,MAC002136,0
994,MAC002136,0
995,MAC002136,0
996,MAC002136,0
997,MAC002136,0
998,MAC002136,0
999,MAC002136,0
1000,MAC002136,0
1001,MAC002136,0
1002,MAC002136,0
1003,MAC002136,0
1004,MAC002136,0
1005,MAC002136,0
1006,MAC002136,0
1007,MAC002136,0
1008,MAC002136,0
1009,MAC002136,0
1010,MAC002136,0
1011,MAC002136,0
1012,MAC002136,0
1013,MAC002136,0
1014,MAC002136,0
1015,MAC002136,0
1016,MAC002136,0
1017,MAC002136,0
1018,MAC002136,0
1019,MAC002136,0
1020,MAC002136,0
1021,MAC002136,0
1022,MAC002136,0
1023,MAC002136,0
1024,MAC002136,0
1025,MAC002136,0
1026,MAC002136,0
1027,MAC002136,0
1028,MAC002136,0
1029,MAC002136,0
1030,MAC002136,0
1031,MAC002136,0
1032,MAC002136,0
1033,MAC002136,0
1034,MAC002136,0
1035,MAC002136,0
1036,MAC002136,0
1037,MAC002136,0
1038,MAC002136,0
1039,MAC002136,0
1040,MAC002136,0
1041,MAC002136,0
1042,MAC002136,0
1043,MAC002136,0
1044,MAC002136,0
1045,MAC002136,0
1046,MAC002136,0
1047,MAC002136,0
1048,MAC002136,0
1049,MAC002136,0
1050,MAC002136,0
1051,MAC002136,0
1052,MAC002136,0
1053,MAC002136,0
1054,MAC002136,0
1055,MAC002136,0
1056,MAC002136,0
1057,MAC002136,0
1058,MAC002136,0
1059,MAC002136,0
1060,MAC002136,0
1061,MAC002136,0
1062,MAC002136,0
1063,MAC002136,0
1064,MAC002136,0
1065,MAC002136,0
1066,MAC002136,0
1067,MAC002136,0
1068,MAC002136,0
1069,MAC002136,0
1070,MAC002136,0
1071,MAC002136,0
1072,MAC002136,0
1073,MAC002136,0
1074,MAC002136,0
1075,MAC002136,0
1076,MAC002136,0
1077,MAC002136,0
1078,MAC002136,0
1079,MAC002136,0
1080,MAC002136,0
1081,MAC002136,0
1082,MAC002136,0
1083,MAC002136,0
1084,MAC002136,0
1085,MAC002136,0
1086,MAC002136,0
1087,MAC002136,0
1088,MAC002136,0
1089,MAC002136,0
1090,MAC002136,0
1091,MAC002136,0
1092,MAC002136,0
1093,MAC002136,0
1094,MAC002136,0
1095,MAC002136,0
1096,MAC002136,0
1097,MAC002136,0
1098,MAC002136,0
1099,MAC002136,0
1100,MAC002136,0
1101,MAC002136,0
1102,MAC002136,0
1103,MAC002136,0
1104,MAC002136,0
1105,MAC002136,0
1106,MAC002136,0
1107,MAC002136,0
1108,MAC002136,0
1109,MAC002136,0
1110,MAC002136,0
1111,MAC002136,0
1112,MAC002136,0
1113,MAC002136,0
1114,MAC002136,0
1115,MAC002136,0
1116,MAC002136,0
1117,MAC002136,0
1118,MAC002136,0
1119,MAC002136,0
1120,MAC002136,0
1121,MAC002136,0
1122,MAC002136,0
1123,MAC002136,0
1124,MAC002136,0
1125,MAC002136,0
1126,MAC002136,0
1127,MAC002136,0
1128,MAC002136,0
1129,MAC002136,0
1130,MAC002136,0
1131,MAC002136,0
1132,MAC002136,0
1133,MAC002136,0
1134,MAC002136,0
1135,MAC002136,0
1136,MAC002136,0
1137,MAC002136,0
1138,MAC002136,0
1139,MAC002136,0
1140,MAC002136,0
1141,MAC002136,0
1142,MAC002136,0
1143,MAC002136,0
1144,MAC002136,0
1145,MAC002136,0
1146,MAC002136,0
1147,MAC002136,0
1148,MAC002136,0
1149,MAC002136,0
1150,MAC002136,0
1151,MAC002136,0
1152,MAC002136,0
1153,MAC002136,0
1154,MAC002136,0
1155,MAC002136,0
1156,MAC002136,0
1157,MAC002136,0
1158,MAC002136,0
1159,MAC002136,0
1160,MAC002136,0
1161,MAC002136,0
1162,MAC002136,0
1163,MAC002136,0
1164,MAC002136,0
1165,MAC002136,0
1166,MAC002136,0
1167,MAC002136,0
1168,MAC002136,0
1169,MAC002136,0
1170,MAC002136,0
1171,MAC002136,0
1172,MAC002136,0
1173,MAC002136,0
1174,MAC002136,0
1175,MAC002136,0
1176,MAC002136,0
1177,MAC002136,0
1178,MAC002136,0
1179,MAC002136,0
1180,MAC002136,0
1181,MAC002136,0
1182,MAC002136,0
1183,MAC002136,0
1184,MAC002136,0
1185,MAC002136,0
1186,MAC002136,0
1187,MAC002136,0
1188,MAC002136,0
1189,MAC002136,0
1190,MAC002136,0
1191,MAC002136,0
1192,MAC002136,0
1193,MAC002136,0
1194,MAC002136,0
1195,MAC002136,0
1196,MAC002136,0
1197,MAC002136,0
1198,MAC002136,0
1199,MAC002136,0
1200,MAC002136,0
1201,MAC002136,0
1202,MAC002136,0
1203,MAC002136,0
1204,MAC002136,0
1205,MAC002136,0
1206,MAC002136,0
1207,MAC002136,0
1208,MAC002136,0
1209,MAC002136,0
1210,MAC002136,0
1211,MAC002136,0
1212,MAC002136,0
1213,MAC002136,0
1214,MAC002136,0
1215,MAC002136,0
1216,MAC002136,0
