tstp,CO
2018/2/14,0.87
2018/2/14,0.73
2018/2/15,1.49
2018/2/15,1.4
2018/2/15,0.75
2018/2/15,0.39
2018/2/15,0.27
2018/2/15,0.24
2018/2/15,0.32
2018/2/15,0.27
2018/2/15,0.17
2018/2/15,0.22
2018/2/15,0.29
2018/2/15,0.42
2018/2/15,0.43
2018/2/15,0.37
2018/2/15,0.31
2018/2/15,0.29
2018/2/15,0.32
2018/2/15,0.34
2018/2/15,0.48
2018/2/15,0.64
2018/2/15,0.93
2018/2/15,0.73
2018/2/15,0.76
2018/2/15,0.62
2018/2/16,0.55
2018/2/16,0.53
2018/2/16,0.37
2018/2/16,0.4
2018/2/16,0.34
2018/2/16,0.28
2018/2/16,0.31
2018/2/16,0.33
2018/2/16,0.37
2018/2/16,0.4
2018/2/16,0.38
2018/2/16,0.35
2018/2/16,0.32
2018/2/16,0.31
2018/2/16,0.33
2018/2/16,0.35
2018/2/16,0.42
2018/2/16,0.56
2018/2/16,0.72
2018/2/16,0.77
2018/2/16,0.42
2018/2/16,0.37
2018/2/16,0.34
2018/2/16,0.3
2018/2/17,0.27
2018/2/17,0.28
2018/2/17,0.25
2018/2/17,0.26
2018/2/17,0.29
2018/2/17,0.3
2018/2/17,0.32
2018/2/17,0.35
2018/2/17,0.36
2018/2/17,0.36
2018/2/17,0.36
2018/2/17,0.33
2018/2/17,0.3
2018/2/17,0.3
2018/2/17,0.31
2018/2/17,0.3
2018/2/17,0.31
2018/2/17,0.32
2018/2/17,0.34
2018/2/17,0.31
2018/2/17,0.29
2018/2/17,0.25
2018/2/17,0.24
2018/2/17,0.21
2018/2/18,0.2
2018/2/18,0.2
2018/2/18,0.19
2018/2/18,0.2
2018/2/18,0.22
2018/2/18,0.23
2018/2/18,0.24
2018/2/18,0.26
2018/2/18,0.29
2018/2/18,0.37
2018/2/18,0.4
2018/2/18,0.29
2018/2/18,0.3
2018/2/18,0.33
2018/2/18,0.32
2018/2/18,0.34
2018/2/18,0.37
2018/2/18,0.44
2018/2/18,0.62
2018/2/18,0.72
2018/2/18,0.73
2018/2/18,0.82
2018/2/18,0.78
2018/2/18,0.55
2018/2/19,0.63
2018/2/19,0.7
2018/2/19,0.68
2018/2/19,0.67
2018/2/19,0.62
2018/2/19,0.61
2018/2/19,0.62
2018/2/19,0.62
